"MARPP Regional Price Parities by MSA"
"RPPs: All items (Index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",89.1
"28700","Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",84.5
"28740","Kingston, NY (Metropolitan Statistical Area)",102.6
"28940","Knoxville, TN (Metropolitan Statistical Area)",88.4
"29020","Kokomo, IN (Metropolitan Statistical Area)",85.4
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",90.8
"29180","Lafayette, LA (Metropolitan Statistical Area)",85.6
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",89.8
"29340","Lake Charles, LA (Metropolitan Statistical Area)",88.6
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",89.3
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",93.5
"29540","Lancaster, PA (Metropolitan Statistical Area)",98.1
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",90.4
"29700","Laredo, TX (Metropolitan Statistical Area)",86.1
"29740","Las Cruces, NM (Metropolitan Statistical Area)",85.7
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",96.9
"29940","Lawrence, KS (Metropolitan Statistical Area)",91.1
"30020","Lawton, OK (Metropolitan Statistical Area)",87.6
"30140","Lebanon, PA (Metropolitan Statistical Area)",95.7
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",90.8
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",96.1
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",90.6
"30620","Lima, OH (Metropolitan Statistical Area)",84.0
"30700","Lincoln, NE (Metropolitan Statistical Area)",90.9
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",87.7
"30860","Logan, UT-ID (Metropolitan Statistical Area)",90.9
"30980","Longview, TX (Metropolitan Statistical Area)",89.1
"31020","Longview, WA (Metropolitan Statistical Area)",96.4
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",118.8
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",89.6
"31180","Lubbock, TX (Metropolitan Statistical Area)",91.0
"31340","Lynchburg, VA (Metropolitan Statistical Area)",90.2
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",87.4
"31460","Madera, CA (Metropolitan Statistical Area)",94.7
"31540","Madison, WI (Metropolitan Statistical Area)",96.4
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",107.6
"31740","Manhattan, KS (Metropolitan Statistical Area)",90.5
"31860","Mankato, MN (Metropolitan Statistical Area)",91.6
"31900","Mansfield, OH (Metropolitan Statistical Area)",83.7
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",82.2
"32780","Medford, OR (Metropolitan Statistical Area)",98.2
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",89.6
"32900","Merced, CA (Metropolitan Statistical Area)",96.7
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",111.7
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",84.6
"33220","Midland, MI (Metropolitan Statistical Area)",89.1
"33260","Midland, TX (Metropolitan Statistical Area)",98.8
"33340","Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",94.6
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",102.9
"33540","Missoula, MT (Metropolitan Statistical Area)",95.4
"33660","Mobile, AL (Metropolitan Statistical Area)",85.3
"33700","Modesto, CA (Metropolitan Statistical Area)",101.0
"33740","Monroe, LA (Metropolitan Statistical Area)",83.3
"33780","Monroe, MI (Metropolitan Statistical Area)",90.4
"33860","Montgomery, AL (Metropolitan Statistical Area)",87.8
"34060","Morgantown, WV (Metropolitan Statistical Area)",89.8
"34100","Morristown, TN (Metropolitan Statistical Area)",83.2
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",101.4
"34620","Muncie, IN (Metropolitan Statistical Area)",85.7
"34740","Muskegon, MI (Metropolitan Statistical Area)",86.7
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",92.2
"34900","Napa, CA (Metropolitan Statistical Area)",120.8
"34940","Naples-Marco Island, FL (Metropolitan Statistical Area)",100.9
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",94.4
"35100","New Bern, NC (Metropolitan Statistical Area)",85.5
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",106.2
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",93.1
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",125.7
"35660","Niles, MI (Metropolitan Statistical Area)",85.9
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",100.8
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",102.5
"36100","Ocala, FL (Metropolitan Statistical Area)",91.7
"36140","Ocean City, NJ (Metropolitan Statistical Area)",101.9
"36220","Odessa, TX (Metropolitan Statistical Area)",95.1
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",94.3
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",89.8
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",108.5
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",91.7
